Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
3227.74     0.0250    82805.1096    12.4014    11.9969    0.0020    0.0018    1.3770    0.1110    0.0241 
3252.13     0.0246    82785.4119    12.4014    11.9984    0.0020    0.0018    1.3770    0.1110    0.0238 
3252.78     0.0246    82784.8903    12.4014    11.9984    0.0020    0.0018    1.3770    0.1110    0.0238 

Altitude: 8000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
874.50     0.0873    83351.5529    9.5232    8.8994    0.0117    0.0018    1.8223    0.1913    0.0860 
890.62     0.0848    83281.2872    9.5232    8.9127    0.0114    0.0018    1.8223    0.1913    0.0835 
898.41     0.0837    83247.8267    9.5232    8.9188    0.0112    0.0018    1.8223    0.1913    0.0824 
916.32     0.0811    83172.1231    9.5232    8.9325    0.0109    0.0018    1.8223    0.1913    0.0798 
936.00     0.0785    83090.8899    9.5232    8.9461    0.0106    0.0018    1.8223    0.1913    0.0772 
944.12     0.0774    83057.9493    9.5232    8.9515    0.0105    0.0018    1.8223    0.1913    0.0762 
962.02     0.0752    82986.3842    9.5232    8.9631    0.0102    0.0018    1.8223    0.1913    0.0739 
977.91     0.0733    82924.1036    9.5232    8.9728    0.0100    0.0018    1.8223    0.1913    0.0720 
1022.12     0.0682    82756.6113    9.5232    8.9979    0.0094    0.0018    1.8223    0.1913    0.0670 
1075.28     0.0627    82565.4163    9.5232    9.0246    0.0088    0.0018    1.8223    0.1913    0.0616 
1117.00     0.0588    82422.4540    9.5232    9.0433    0.0084    0.0018    1.8223    0.1913    0.0577 
1137.47     0.0569    82354.3903    9.5232    9.0518    0.0082    0.0018    1.8223    0.1913    0.0559 
1247.94     0.0480    82008.2489    9.5232    9.0920    0.0073    0.0018    1.8223    0.1913    0.0471 
1278.70     0.0458    81917.6295    9.5232    9.1016    0.0071    0.0018    1.8223    0.1913    0.0449 
1348.82     0.0411    81719.3010    9.5232    9.1216    0.0067    0.0018    1.8223    0.1913    0.0403 
1447.54     0.0353    81457.4833    9.5232    9.1459    0.0061    0.0018    1.8223    0.1913    0.0345 
1549.51     0.0300    81205.6811    9.5232    9.1671    0.0057    0.0018    1.8223    0.1913    0.0293 
1567.02     0.0291    81164.1458    9.5232    9.1705    0.0056    0.0018    1.8223    0.1913    0.0285 
1575.83     0.0287    81143.4234    9.5232    9.1721    0.0056    0.0018    1.8223    0.1913    0.0281 
1581.35     0.0284    81130.4871    9.5232    9.1731    0.0055    0.0018    1.8223    0.1913    0.0278 
1593.56     0.0278    81102.0683    9.5232    9.1753    0.0055    0.0018    1.8223    0.1913    0.0272 
1600.25     0.0275    81086.5909    9.5232    9.1765    0.0055    0.0018    1.8223    0.1913    0.0269 
1608.09     0.0272    81068.5549    9.5232    9.1779    0.0054    0.0018    1.8223    0.1913    0.0266 
1618.20     0.0267    81045.3989    9.5232    9.1797    0.0054    0.0018    1.8223    0.1913    0.0261 
1630.62     0.0262    81017.1476    9.5232    9.1818    0.0054    0.0018    1.8223    0.1913    0.0256 
1638.57     0.0258    80999.1982    9.5232    9.1832    0.0053    0.0018    1.8223    0.1913    0.0252 
1646.54     0.0254    80981.2711    9.5232    9.1845    0.0053    0.0018    1.8223    0.1913    0.0249 
1653.40     0.0251    80965.9226    9.5232    9.1856    0.0053    0.0018    1.8223    0.1913    0.0246 
1663.72     0.0247    80942.9304    9.5232    9.1873    0.0052    0.0018    1.8223    0.1913    0.0241 
2080.75     0.0425    79344.7534    11.7615    11.3045    0.0033    0.0018    1.4760    0.1255    0.0413 
2097.57     0.0419    79313.5412    11.7615    11.3069    0.0033    0.0018    1.4760    0.1255    0.0408 
2114.50     0.0414    79282.3888    11.7615    11.3093    0.0033    0.0018    1.4760    0.1255    0.0403 
2128.42     0.0410    79256.9446    11.7615    11.3112    0.0032    0.0018    1.4760    0.1255    0.0398 
2140.86     0.0406    79234.3608    11.7615    11.3129    0.0032    0.0018    1.4760    0.1255    0.0395 
2151.78     0.0403    79214.6256    11.7615    11.3144    0.0032    0.0018    1.4760    0.1255    0.0391 
2161.18     0.0400    79197.7285    11.7615    11.3157    0.0032    0.0018    1.4760    0.1255    0.0389 
2172.19     0.0396    79178.0373    11.7615    11.3171    0.0032    0.0018    1.4760    0.1255    0.0385 
2176.92     0.0395    79169.6054    11.7615    11.3177    0.0032    0.0018    1.4760    0.1255    0.0384 
2184.81     0.0393    79155.5619    11.7615    11.3188    0.0032    0.0018    1.4760    0.1255    0.0382 
2191.15     0.0391    79144.3357    11.7615    11.3196    0.0031    0.0018    1.4760    0.1255    0.0380 
2197.50     0.0389    79133.1172    11.7615    11.3204    0.0031    0.0018    1.4760    0.1255    0.0378 
2202.27     0.0388    79124.7083    11.7615    11.3210    0.0031    0.0018    1.4760    0.1255    0.0377 
2203.86     0.0387    79121.9063    11.7615    11.3212    0.0031    0.0018    1.4760    0.1255    0.0376 
2207.05     0.0386    79116.3038    11.7615    11.3216    0.0031    0.0018    1.4760    0.1255    0.0375 
2211.83     0.0385    79107.9035    11.7615    11.3222    0.0031    0.0018    1.4760    0.1255    0.0374 
2219.83     0.0382    79093.9124    11.7615    11.3232    0.0031    0.0018    1.4760    0.1255    0.0372 
2227.85     0.0380    79079.9333    11.7615    11.3242    0.0031    0.0018    1.4760    0.1255    0.0369 
2234.28     0.0378    79068.7585    11.7615    11.3250    0.0031    0.0018    1.4760    0.1255    0.0368 
2242.33     0.0376    79054.8005    11.7615    11.3260    0.0031    0.0018    1.4760    0.1255    0.0365 
2252.03     0.0373    79038.0666    11.7615    11.3272    0.0031    0.0018    1.4760    0.1255    0.0363 
2260.13     0.0371    79024.1345    11.7615    11.3282    0.0030    0.0018    1.4760    0.1255    0.0360 
2268.26     0.0369    79010.2141    11.7615    11.3292    0.0030    0.0018    1.4760    0.1255    0.0358 
2278.04     0.0366    78993.5250    11.7615    11.3303    0.0030    0.0018    1.4760    0.1255    0.0356 
2282.94     0.0365    78985.1868    11.7615    11.3309    0.0030    0.0018    1.4760    0.1255    0.0354 
2291.13     0.0363    78971.2990    11.7615    11.3319    0.0030    0.0018    1.4760    0.1255    0.0352 
2297.70     0.0361    78960.1971    11.7615    11.3326    0.0030    0.0018    1.4760    0.1255    0.0350 
2304.28     0.0359    78949.1026    11.7615    11.3334    0.0030    0.0018    1.4760    0.1255    0.0349 
2309.22     0.0358    78940.7866    11.7615    11.3340    0.0030    0.0018    1.4760    0.1255    0.0347 
2312.53     0.0357    78935.2449    11.7615    11.3344    0.0030    0.0018    1.4760    0.1255    0.0346 
2319.14     0.0355    78924.1669    11.7615    11.3351    0.0030    0.0018    1.4760    0.1255    0.0345 
2324.11     0.0354    78915.8633    11.7615    11.3357    0.0030    0.0018    1.4760    0.1255    0.0343 
2342.40     0.0349    78885.4520    11.7615    11.3377    0.0029    0.0018    1.4760    0.1255    0.0339 
2362.47     0.0344    78852.3390    11.7615    11.3399    0.0029    0.0018    1.4760    0.1255    0.0334 
2389.45     0.0337    78808.2897    11.7615    11.3429    0.0029    0.0018    1.4760    0.1255    0.0327 
2414.94     0.0330    78767.0980    11.7615    11.3455    0.0028    0.0018    1.4760    0.1255    0.0321 
2442.37     0.0324    78723.2708    11.7615    11.3484    0.0028    0.0018    1.4760    0.1255    0.0314 
2478.72     0.0315    78665.9195    11.7615    11.3520    0.0028    0.0018    1.4760    0.1255    0.0305 
2520.76     0.0305    78600.6117    11.7615    11.3561    0.0027    0.0018    1.4760    0.1255    0.0296 
2556.21     0.0297    78546.3790    11.7615    11.3594    0.0027    0.0018    1.4760    0.1255    0.0288 
2584.84     0.0290    78503.1165    11.7615    11.3620    0.0027    0.0018    1.4760    0.1255    0.0282 
2597.44     0.0288    78484.2234    11.7615    11.3631    0.0026    0.0018    1.4760    0.1255    0.0279 
2606.47     0.0286    78470.7411    11.7615    11.3639    0.0026    0.0018    1.4760    0.1255    0.0277 
2622.79     0.0282    78446.4995    11.7615    11.3653    0.0026    0.0018    1.4760    0.1255    0.0273 
2633.71     0.0280    78430.3574    11.7615    11.3663    0.0026    0.0018    1.4760    0.1255    0.0271 
2641.01     0.0278    78419.6044    11.7615    11.3669    0.0026    0.0018    1.4760    0.1255    0.0270 
2651.98     0.0276    78403.4875    11.7615    11.3678    0.0026    0.0018    1.4760    0.1255    0.0267 
2659.32     0.0274    78392.7513    11.7615    11.3685    0.0026    0.0018    1.4760    0.1255    0.0266 
2664.83     0.0273    78384.7035    11.7615    11.3689    0.0026    0.0018    1.4760    0.1255    0.0265 
2674.04     0.0271    78371.2988    11.7615    11.3697    0.0026    0.0018    1.4760    0.1255    0.0263 
2679.58     0.0270    78363.2610    11.7615    11.3702    0.0026    0.0018    1.4760    0.1255    0.0262 
2685.12     0.0269    78355.2269    11.7615    11.3706    0.0026    0.0018    1.4760    0.1255    0.0261 
2688.82     0.0268    78349.8729    11.7615    11.3709    0.0026    0.0018    1.4760    0.1255    0.0260 
2690.67     0.0268    78347.1965    11.7615    11.3711    0.0026    0.0018    1.4760    0.1255    0.0259 
2696.24     0.0267    78339.1699    11.7615    11.3715    0.0025    0.0018    1.4760    0.1255    0.0258 
2705.53     0.0265    78325.8004    11.7615    11.3723    0.0025    0.0018    1.4760    0.1255    0.0256 
2716.71     0.0262    78309.7707    11.7615    11.3732    0.0025    0.0018    1.4760    0.1255    0.0254 
2726.05     0.0260    78296.4238    11.7615    11.3739    0.0025    0.0018    1.4760    0.1255    0.0252 
2739.17     0.0258    78277.7555    11.7615    11.3750    0.0025    0.0018    1.4760    0.1255    0.0250 
2748.57     0.0256    78264.4332    11.7615    11.3757    0.0025    0.0018    1.4760    0.1255    0.0248 
2756.11     0.0254    78253.7827    11.7615    11.3763    0.0025    0.0018    1.4760    0.1255    0.0247 
2769.34     0.0252    78235.1600    11.7615    11.3773    0.0025    0.0018    1.4760    0.1255    0.0244 
2780.72     0.0250    78219.2136    11.7615    11.3782    0.0025    0.0018    1.4760    0.1255    0.0242 
3020.14     0.0285    77790.1553    12.4014    11.9831    0.0021    0.0018    1.3770    0.1110    0.0275 
3036.61     0.0282    77776.8958    12.4014    11.9843    0.0021    0.0018    1.3770    0.1110    0.0272 
3061.42     0.0278    77757.0525    12.4014    11.9860    0.0021    0.0018    1.3770    0.1110    0.0268 
3075.97     0.0275    77745.5028    12.4014    11.9870    0.0021    0.0018    1.3770    0.1110    0.0266 
3086.39     0.0273    77737.2644    12.4014    11.9877    0.0021    0.0018    1.3770    0.1110    0.0264 
3101.03     0.0271    77725.7467    12.4014    11.9888    0.0021    0.0018    1.3770    0.1110    0.0262 
3105.22     0.0270    77722.4593    12.4014    11.9890    0.0021    0.0018    1.3770    0.1110    0.0261 

