Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
935.96     0.0802    83091.1855    9.5226    9.0861    0.0074    0.0018    1.8223    0.1914    0.0789 
944.08     0.0791    83058.2457    9.5226    9.0900    0.0073    0.0018    1.8223    0.1914    0.0778 
961.98     0.0768    82986.6825    9.5226    9.0984    0.0072    0.0018    1.8223    0.1914    0.0756 
977.87     0.0749    82924.4035    9.5226    9.1054    0.0070    0.0018    1.8223    0.1914    0.0736 
1022.08     0.0697    82756.9154    9.5226    9.1236    0.0066    0.0018    1.8223    0.1914    0.0686 
1075.23     0.0641    82565.7253    9.5226    9.1428    0.0062    0.0018    1.8223    0.1914    0.0630 
1116.95     0.0601    82422.7666    9.5226    9.1563    0.0059    0.0018    1.8223    0.1914    0.0590 
1137.42     0.0583    82354.7046    9.5226    9.1624    0.0058    0.0018    1.8223    0.1914    0.0572 
1247.89     0.0492    82008.5720    9.5226    9.1913    0.0051    0.0018    1.8223    0.1914    0.0483 
1278.64     0.0470    81917.9549    9.5226    9.1982    0.0050    0.0018    1.8223    0.1914    0.0461 
1348.76     0.0422    81719.6315    9.5226    9.2126    0.0047    0.0018    1.8223    0.1914    0.0414 
1447.47     0.0363    81457.8204    9.5226    9.2299    0.0043    0.0018    1.8223    0.1914    0.0355 
1549.43     0.0309    81206.0246    9.5226    9.2451    0.0040    0.0018    1.8223    0.1914    0.0302 
1566.94     0.0300    81164.4904    9.5226    9.2475    0.0039    0.0018    1.8223    0.1914    0.0294 
1575.75     0.0296    81143.7685    9.5226    9.2487    0.0039    0.0018    1.8223    0.1914    0.0289 
1581.28     0.0293    81130.8325    9.5226    9.2494    0.0039    0.0018    1.8223    0.1914    0.0287 
1593.49     0.0287    81102.4145    9.5226    9.2510    0.0039    0.0018    1.8223    0.1914    0.0281 
1600.18     0.0284    81086.9374    9.5226    9.2518    0.0038    0.0018    1.8223    0.1914    0.0278 
1608.01     0.0281    81068.9019    9.5226    9.2528    0.0038    0.0018    1.8223    0.1914    0.0274 
1618.12     0.0276    81045.7465    9.5226    9.2541    0.0038    0.0018    1.8223    0.1914    0.0270 
1630.54     0.0270    81017.4959    9.5226    9.2556    0.0038    0.0018    1.8223    0.1914    0.0264 
1638.49     0.0267    80999.5470    9.5226    9.2566    0.0037    0.0018    1.8223    0.1914    0.0261 
1646.46     0.0263    80981.6203    9.5226    9.2575    0.0037    0.0018    1.8223    0.1914    0.0257 
1653.32     0.0260    80966.2723    9.5226    9.2583    0.0037    0.0018    1.8223    0.1914    0.0254 
1663.64     0.0255    80943.2806    9.5226    9.2595    0.0037    0.0018    1.8223    0.1914    0.0250 
1674.02     0.0251    80920.3252    9.5226    9.2607    0.0037    0.0018    1.8223    0.1914    0.0245 
2091.86     0.0425    79333.7312    11.7371    11.3692    0.0023    0.0018    1.4798    0.1261    0.0413 
2108.72     0.0419    79302.6197    11.7371    11.3709    0.0023    0.0018    1.4798    0.1261    0.0408 
2122.60     0.0415    79277.2090    11.7371    11.3722    0.0023    0.0018    1.4798    0.1261    0.0403 
2134.99     0.0411    79254.6549    11.7371    11.3735    0.0023    0.0018    1.4798    0.1261    0.0400 
2145.88     0.0408    79234.9455    11.7371    11.3745    0.0023    0.0018    1.4798    0.1261    0.0396 
2155.25     0.0405    79218.0707    11.7371    11.3754    0.0023    0.0018    1.4798    0.1261    0.0393 
2166.21     0.0401    79198.4054    11.7371    11.3764    0.0022    0.0018    1.4798    0.1261    0.0390 
2170.93     0.0400    79189.9846    11.7371    11.3769    0.0022    0.0018    1.4798    0.1261    0.0389 
2178.80     0.0398    79175.9595    11.7371    11.3776    0.0022    0.0018    1.4798    0.1261    0.0386 
2185.11     0.0396    79164.7481    11.7371    11.3782    0.0022    0.0018    1.4798    0.1261    0.0385 
2191.44     0.0394    79153.5443    11.7371    11.3788    0.0022    0.0018    1.4798    0.1261    0.0383 
2196.19     0.0392    79145.1465    11.7371    11.3792    0.0022    0.0018    1.4798    0.1261    0.0381 
2197.78     0.0392    79142.3482    11.7371    11.3794    0.0022    0.0018    1.4798    0.1261    0.0381 
2200.95     0.0391    79136.7529    11.7371    11.3797    0.0022    0.0018    1.4798    0.1261    0.0380 
2205.72     0.0390    79128.3637    11.7371    11.3801    0.0022    0.0018    1.4798    0.1261    0.0379 
2213.69     0.0387    79114.3910    11.7371    11.3808    0.0022    0.0018    1.4798    0.1261    0.0376 
2221.68     0.0385    79100.4303    11.7371    11.3815    0.0022    0.0018    1.4798    0.1261    0.0374 
2228.09     0.0383    79089.2701    11.7371    11.3821    0.0022    0.0018    1.4798    0.1261    0.0372 
2236.12     0.0381    79075.3306    11.7371    11.3828    0.0022    0.0018    1.4798    0.1261    0.0370 
2245.78     0.0378    79058.6186    11.7371    11.3836    0.0022    0.0018    1.4798    0.1261    0.0367 
2253.85     0.0376    79044.7048    11.7371    11.3843    0.0021    0.0018    1.4798    0.1261    0.0365 
2261.95     0.0373    79030.8027    11.7371    11.3850    0.0021    0.0018    1.4798    0.1261    0.0363 
2271.70     0.0371    79014.1356    11.7371    11.3859    0.0021    0.0018    1.4798    0.1261    0.0360 
2276.59     0.0369    79005.8083    11.7371    11.3863    0.0021    0.0018    1.4798    0.1261    0.0359 
2284.75     0.0367    78991.9388    11.7371    11.3870    0.0021    0.0018    1.4798    0.1261    0.0357 
2291.29     0.0365    78980.8515    11.7371    11.3875    0.0021    0.0018    1.4798    0.1261    0.0355 
2297.85     0.0363    78969.7716    11.7371    11.3880    0.0021    0.0018    1.4798    0.1261    0.0353 
2302.78     0.0362    78961.4665    11.7371    11.3884    0.0021    0.0018    1.4798    0.1261    0.0352 
2306.07     0.0361    78955.9320    11.7371    11.3887    0.0021    0.0018    1.4798    0.1261    0.0351 
2312.66     0.0359    78944.8687    11.7371    11.3892    0.0021    0.0018    1.4798    0.1261    0.0349 
2317.61     0.0358    78936.5760    11.7371    11.3897    0.0021    0.0018    1.4798    0.1261    0.0348 
2335.83     0.0353    78906.2046    11.7371    11.3911    0.0021    0.0018    1.4798    0.1261    0.0343 
2355.84     0.0348    78873.1351    11.7371    11.3927    0.0021    0.0018    1.4798    0.1261    0.0338 
2382.72     0.0341    78829.1437    11.7371    11.3948    0.0020    0.0018    1.4798    0.1261    0.0331 
2408.13     0.0334    78788.0062    11.7371    11.3967    0.0020    0.0018    1.4798    0.1261    0.0325 
2435.45     0.0328    78744.2367    11.7371    11.3987    0.0020    0.0018    1.4798    0.1261    0.0318 
2471.68     0.0319    78686.9608    11.7371    11.4013    0.0020    0.0018    1.4798    0.1261    0.0309 
2513.57     0.0309    78621.7388    11.7371    11.4041    0.0019    0.0018    1.4798    0.1261    0.0300 
2548.89     0.0301    78567.5774    11.7371    11.4065    0.0019    0.0018    1.4798    0.1261    0.0292 
2577.42     0.0294    78524.3718    11.7371    11.4083    0.0019    0.0018    1.4798    0.1261    0.0285 
2589.98     0.0291    78505.5036    11.7371    11.4091    0.0019    0.0018    1.4798    0.1261    0.0283 
2598.98     0.0289    78492.0390    11.7371    11.4097    0.0019    0.0018    1.4798    0.1261    0.0281 
2615.23     0.0286    78467.8293    11.7371    11.4107    0.0018    0.0018    1.4798    0.1261    0.0277 
2626.11     0.0283    78451.7084    11.7371    11.4114    0.0018    0.0018    1.4798    0.1261    0.0275 
2633.39     0.0282    78440.9696    11.7371    11.4118    0.0018    0.0018    1.4798    0.1261    0.0273 
2644.32     0.0280    78424.8739    11.7371    11.4125    0.0018    0.0018    1.4798    0.1261    0.0271 
2651.64     0.0278    78414.1517    11.7371    11.4129    0.0018    0.0018    1.4798    0.1261    0.0269 
2657.13     0.0277    78406.1145    11.7371    11.4133    0.0018    0.0018    1.4798    0.1261    0.0268 
2666.30     0.0275    78392.7274    11.7371    11.4138    0.0018    0.0018    1.4798    0.1261    0.0266 
2671.82     0.0274    78384.7002    11.7371    11.4141    0.0018    0.0018    1.4798    0.1261    0.0265 
2677.34     0.0272    78376.6767    11.7371    11.4145    0.0018    0.0018    1.4798    0.1261    0.0264 
2681.03     0.0272    78371.3297    11.7371    11.4147    0.0018    0.0018    1.4798    0.1261    0.0263 
2682.88     0.0271    78368.6569    11.7371    11.4148    0.0018    0.0018    1.4798    0.1261    0.0263 
